rank,conference,size,num_games,win,loss,pct,bowl_games,bowl_win,bowl_loss,bowl_pct,srs,sos,prepoll,postpoll,champion
1,Pacific-10 Conference,10,125,68,57,0.544,4,2,2,0.5,8.44,6.52,3,2,Oregon
2,Southeastern Conference,12,156,95,61,0.609,10,5,5,0.5,8.21,3.69,6,6,Auburn
3,Big 12 Conference,12,154,92,62,0.597,8,3,5,0.375,6.25,3.09,3,5,Oklahoma
4,Atlantic Coast Conference,12,155,83,72,0.535,9,4,5,0.444,4.75,2.87,5,4,Virginia Tech
5,Big Ten Conference,11,140,82,58,0.586,8,3,5,0.375,4.31,1.31,4,3,Michigan State Ohio State Wisconsin
6,Independent,3,39,24,15,0.615,3,2,1,0.667,3.8,-0.56,0,0,
7,Big East Conference,8,102,56,46,0.549,6,4,2,0.667,2,-0.37,2,0,Connecticut Pitt West Virginia
8,Western Athletic Conference,9,116,61,55,0.526,4,2,2,0.5,-0.81,-1.14,1,2,Boise State Hawaii Nevada
9,Mountain West Conference,9,114,57,57,0.5,5,4,1,0.8,-1.03,-0.07,1,1,Texas Christian
10,Conference USA,12,152,71,81,0.467,6,2,4,0.333,-5.59,-3.82,0,2,UCF
11,Mid-American Conference,13,162,70,92,0.432,4,2,2,0.5,-9.88,-7.09,0,0,Miami (OH)
12,Sun Belt Conference,9,111,42,69,0.378,3,2,1,0.667,-11.14,-6.71,0,0,Florida International Troy
