,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
1,Alabama,14,10.9,15.5,28.4,54.7,173.6,0.6,31.4,76.4,2.4,0.7,59.8,250.0,4.2,8.2,4.5,1.0,13.7,4.8,40.4,0.8,1.3,2.1
2,Notre Dame,13,12.8,20.1,33.4,60.1,199.8,0.8,30.5,105.7,3.5,0.3,63.8,305.5,4.8,10.1,5.7,1.2,17.0,5.2,41.8,0.5,1.2,1.8
3,Brigham Young,13,14.0,16.5,29.1,56.6,179.2,0.9,31.7,86.9,2.7,0.4,60.8,266.1,4.4,8.2,4.8,1.7,14.7,6.3,56.5,0.8,0.9,1.7
4,Rutgers,13,14.2,17.7,32.5,54.5,214.5,1.0,35.4,97.2,2.7,0.5,67.8,311.6,4.6,9.5,6.4,1.7,17.5,6.2,52.2,1.1,1.4,2.5
5,Florida,13,14.5,17.8,34.2,52.0,192.5,0.5,31.8,94.9,3.0,0.9,65.9,287.5,4.4,9.2,5.7,2.5,17.4,5.9,48.6,0.8,1.5,2.3
6,Florida State,14,14.7,15.8,32.4,48.8,161.9,0.9,33.5,92.3,2.8,0.7,65.9,254.1,3.9,7.3,5.8,1.4,14.5,4.9,42.1,0.7,0.8,1.5
7,Utah State,13,15.4,19.8,36.5,54.1,208.3,0.9,37.9,113.8,3.0,0.5,74.5,322.1,4.3,8.9,6.9,2.6,18.5,6.1,51.9,0.5,1.1,1.5
8,Boise State,13,15.8,16.8,28.9,58.2,169.5,0.3,39.4,146.2,3.7,1.5,68.3,315.6,4.6,7.6,8.3,1.4,17.3,5.2,41.7,1.4,1.4,2.8
9,Michigan State,13,16.3,17.2,32.7,52.5,175.8,0.8,30.1,98.6,3.3,0.5,62.8,274.4,4.4,7.8,4.8,2.0,14.6,4.3,37.2,0.5,1.1,1.5
10,Bowling Green State,13,16.8,18.3,31.6,57.9,190.1,0.8,31.8,106.5,3.4,1.1,63.4,296.6,4.7,8.0,5.8,1.4,15.2,6.5,51.5,0.9,0.8,1.7
11,Stanford,14,17.2,24.0,39.3,61.1,239.2,0.9,31.9,97.0,3.0,1.1,71.1,336.2,4.7,10.3,6.1,1.7,18.1,6.1,56.4,0.9,1.1,1.9
12,LSU,13,17.5,19.5,35.2,55.6,206.0,1.2,33.8,101.6,3.0,1.1,69.0,307.6,4.5,9.7,6.2,2.5,18.5,5.5,40.3,1.2,1.4,2.5
13,South Carolina,13,18.2,16.4,29.2,56.2,194.8,1.4,38.8,120.7,3.1,0.7,67.9,315.5,4.6,8.1,8.4,1.3,17.8,4.8,41.2,0.7,1.2,1.8
14,Cincinnati,13,18.5,21.7,38.3,56.6,252.5,1.0,35.3,135.6,3.8,0.8,73.6,388.1,5.3,11.8,7.5,1.3,20.6,6.4,56.6,0.9,1.2,2.2
15,Vanderbilt,13,18.7,17.8,33.2,53.7,191.8,0.5,37.1,142.2,3.8,1.3,70.3,333.9,4.7,8.7,8.2,1.2,18.2,6.8,55.1,0.5,0.8,1.4
16,Penn State,12,19.1,20.3,35.8,56.7,225.0,1.3,36.3,128.4,3.5,0.8,72.1,353.4,4.9,9.8,7.0,1.5,18.3,5.9,49.6,1.0,0.8,1.8
17,Wisconsin,14,19.1,18.2,33.1,55.0,193.6,1.3,33.7,128.9,3.8,1.0,66.9,322.6,4.8,9.2,6.4,1.1,16.7,4.6,39.6,0.5,0.6,1.1
18,Georgia,14,19.6,14.3,25.1,57.0,175.6,0.9,44.0,182.1,4.1,1.2,69.1,357.8,5.2,7.4,10.2,1.4,19.1,5.0,39.8,1.2,0.9,2.1
19,Connecticut,12,19.8,17.3,31.8,54.3,212.0,1.3,35.8,97.9,2.7,0.8,67.6,309.9,4.6,9.3,5.8,1.1,16.2,6.1,52.0,0.5,0.5,1.0
20,Michigan,13,19.8,15.2,25.4,60.0,169.5,1.2,39.5,150.5,3.8,0.7,64.9,320.0,4.9,7.8,8.9,1.5,18.2,6.5,55.3,0.8,0.5,1.4
21,Northern Illinois,14,19.9,20.3,36.4,55.8,222.9,0.8,41.9,146.4,3.5,1.5,78.3,369.3,4.7,10.4,10.0,2.0,22.4,4.7,44.9,0.9,1.1,1.9
