,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
1,Louisiana Tech,12,51.5,30.4,44.4,68.5,350.8,2.8,43.4,227.2,5.2,3.9,87.8,577.9,6.6,16.6,11.6,3.3,31.5,8.2,79.8,0.7,0.4,1.1
2,Oregon,13,49.5,19.2,28.7,67.0,222.2,2.7,52.7,315.2,6.0,3.7,81.4,537.4,6.6,10.5,15.7,1.2,27.4,7.9,71.1,0.8,0.7,1.5
3,Oklahoma State,13,45.7,24.0,38.1,63.0,331.7,2.6,39.9,215.3,5.4,2.7,78.0,547.0,7.0,13.6,11.5,1.5,26.6,6.4,59.8,0.5,1.2,1.7
4,Baylor,13,44.5,22.6,36.5,61.9,340.5,2.6,45.9,231.7,5.0,2.9,82.5,572.2,6.9,13.5,13.0,1.8,28.3,6.7,58.7,0.8,1.0,1.8
5,Texas A&M,13,44.5,25.3,37.8,66.9,316.5,2.2,41.0,242.1,5.9,3.5,78.8,558.5,7.1,13.8,11.5,2.2,27.5,6.2,56.5,0.8,0.8,1.6
6,Clemson,13,41.0,24.5,36.5,67.1,321.6,3.1,45.2,191.1,4.2,2.0,81.7,512.7,6.3,13.8,11.2,1.2,26.2,5.2,43.2,0.5,1.1,1.6
7,Marshall,12,40.9,35.3,50.6,69.9,365.1,3.3,40.0,169.2,4.2,2.0,90.6,534.3,5.9,17.8,9.8,1.8,29.4,6.5,60.5,0.7,1.0,1.7
8,North Carolina,12,40.6,23.9,36.8,65.1,291.8,2.4,38.1,193.8,5.1,2.3,74.8,485.6,6.5,13.3,9.8,1.3,24.3,7.5,64.3,0.9,0.6,1.5
9,West Virginia,13,39.5,29.1,41.3,70.4,330.2,3.4,35.5,171.8,4.8,1.6,76.8,502.0,6.5,14.5,9.2,1.8,25.4,5.5,51.2,0.5,0.5,1.0
10,Florida State,14,39.3,20.6,30.6,67.3,265.3,1.7,36.6,206.2,5.6,2.9,67.2,471.5,7.0,11.6,10.4,1.0,23.0,6.4,57.8,1.2,0.7,1.9
11,Kansas State,13,38.8,15.6,24.2,64.4,207.4,1.2,40.5,194.0,4.8,3.2,64.7,401.4,6.2,9.7,10.6,1.4,21.7,3.8,31.0,0.2,0.7,0.9
12,Alabama,14,38.7,15.6,23.4,66.8,218.0,2.2,40.7,227.5,5.6,2.6,64.1,445.5,6.9,9.4,11.4,0.9,21.6,3.9,33.4,0.9,0.2,1.1
13,Northern Illinois,14,38.6,17.5,29.3,59.8,231.4,1.9,43.8,238.2,5.4,3.1,73.1,469.6,6.4,10.3,11.6,1.4,23.3,5.9,54.8,1.0,0.4,1.4
14,Arizona State,13,38.4,21.2,31.8,66.6,259.2,2.5,46.0,205.4,4.5,2.1,77.8,464.5,6.0,12.3,11.2,1.8,25.3,4.2,34.9,0.9,0.9,1.8
15,Arizona,13,38.2,25.1,41.4,60.6,298.4,2.3,41.8,227.8,5.4,2.5,83.2,526.2,6.3,13.1,12.9,3.3,29.3,6.4,55.1,1.0,1.2,2.2
16,Oklahoma,13,38.2,28.9,43.9,65.8,336.5,2.3,33.4,161.4,4.8,2.3,77.3,497.8,6.4,17.2,8.8,1.2,27.2,5.7,46.0,0.7,0.8,1.5
17,Fresno State,13,37.9,27.1,41.2,65.8,325.6,2.9,36.2,151.9,4.2,1.5,77.4,477.5,6.2,13.2,8.5,1.7,23.5,6.8,61.5,0.9,0.6,1.5
18,Georgia,14,37.8,18.1,28.5,63.7,285.1,2.6,37.5,182.6,4.9,2.3,66.0,467.6,7.1,11.5,8.9,0.9,21.2,6.9,53.5,0.6,0.8,1.4
19,Nevada,13,37.8,20.8,31.2,66.7,243.8,1.8,51.8,271.0,5.2,3.2,83.1,514.8,6.2,12.5,14.5,1.9,28.9,6.6,63.0,0.9,0.8,1.7
20,Texas Tech,13,37.5,32.2,45.7,70.4,355.9,3.4,30.7,139.9,4.6,1.2,76.4,495.8,6.5,16.0,8.8,2.1,26.8,7.7,75.5,0.6,1.2,1.8
21,Ohio State,12,37.2,13.4,23.2,57.9,181.5,1.4,46.6,242.3,5.2,3.1,69.8,423.8,6.1,7.2,13.0,1.3,21.4,7.0,64.5,0.9,0.6,1.5
22,Tennessee,12,36.2,23.8,39.8,59.7,315.6,2.9,34.4,160.3,4.7,1.5,74.2,475.9,6.4,14.8,7.8,1.4,24.1,6.8,52.5,0.7,1.2,1.8
23,Texas,13,35.7,20.6,30.7,67.2,263.2,1.9,37.8,171.5,4.5,2.5,68.5,434.6,6.3,11.2,9.2,1.3,21.6,5.2,45.3,0.4,0.8,1.2
24,Louisiana,13,35.5,18.6,30.2,61.6,261.8,1.7,36.9,193.5,5.2,2.5,67.2,455.3,6.8,10.2,8.9,1.6,20.7,5.7,49.1,1.0,0.7,1.7
25,UCF,14,35.4,18.4,29.4,62.4,225.6,2.0,37.6,181.8,4.8,2.4,67.1,407.4,6.1,10.3,10.4,0.9,21.5,4.3,36.2,0.6,0.5,1.1
26,Arkansas State,13,34.9,21.5,31.7,67.7,260.5,1.9,41.5,206.2,5.0,2.4,73.2,466.7,6.4,10.5,12.2,1.8,24.5,4.9,46.0,0.7,0.4,1.1
27,Utah State,13,34.9,21.9,32.3,67.9,265.0,2.1,36.4,204.1,5.6,2.3,68.7,469.1,6.8,10.8,8.6,1.4,20.8,7.0,72.4,0.8,0.8,1.6
28,Nebraska,14,34.8,16.6,27.0,61.6,207.4,1.7,47.3,253.4,5.4,2.4,74.3,460.8,6.2,8.6,12.9,2.1,23.6,6.3,60.5,1.6,0.9,2.5
29,San Jose State,13,34.8,25.8,36.0,71.8,332.7,2.7,34.3,113.5,3.3,1.3,70.3,446.2,6.3,15.4,6.1,1.2,22.6,5.2,47.5,1.2,0.7,1.8
30,Tulsa,14,34.7,17.7,33.6,52.7,211.4,1.4,49.2,245.7,5.0,2.9,82.9,457.1,5.5,9.0,12.2,1.9,23.1,4.5,41.9,0.8,0.9,1.7
31,UCLA,14,34.4,23.1,35.4,65.3,275.7,2.1,42.8,190.8,4.5,2.1,78.2,466.5,6.0,12.1,9.3,2.2,23.6,9.3,91.5,1.0,0.8,1.8
32,Louisiana-Monroe,13,33.8,26.4,41.5,63.6,290.7,2.5,34.6,142.1,4.1,1.8,76.1,432.8,5.7,14.1,7.2,2.5,23.8,5.4,43.6,0.3,1.2,1.5
33,Ball State,13,33.6,24.5,37.8,64.8,254.0,2.2,41.8,203.2,4.9,1.8,79.6,457.2,5.7,13.9,11.6,2.4,27.9,4.7,47.2,0.5,0.8,1.3
34,Georgia Tech,14,33.6,7.3,13.9,52.6,129.9,0.9,57.7,311.2,5.4,3.4,71.6,441.1,6.2,4.2,16.4,1.0,21.6,4.9,39.9,0.9,0.6,1.5
35,Kent State,14,33.1,14.1,25.6,55.3,162.5,1.0,41.7,225.8,5.4,2.6,67.3,388.3,5.8,7.5,9.9,1.4,18.9,5.2,44.9,0.5,0.8,1.3
36,San Diego State,13,32.8,14.0,23.8,58.9,175.9,1.6,44.5,220.7,5.0,2.3,68.2,396.6,5.8,7.9,11.5,1.9,21.4,5.6,49.1,1.1,0.8,1.9
37,Oregon State,13,32.5,24.2,38.8,62.5,307.1,2.1,34.0,124.4,3.7,2.0,72.8,431.5,5.9,13.8,7.8,2.2,23.8,6.1,55.7,0.5,1.2,1.8
38,Houston,12,32.4,28.1,49.3,57.0,328.4,2.3,32.8,151.2,4.6,1.5,82.0,479.6,5.8,14.7,7.6,2.1,24.3,6.2,53.6,1.3,1.7,2.9
39,Cincinnati,13,32.3,16.2,28.5,56.6,238.8,1.9,37.8,201.5,5.3,1.9,66.4,440.2,6.6,9.2,9.5,1.7,20.5,5.6,53.5,0.6,0.8,1.5
40,USC,13,32.1,21.8,35.5,61.6,282.3,3.0,30.2,150.6,5.0,0.9,65.6,432.9,6.6,11.5,7.1,3.0,21.6,7.6,62.2,1.1,1.5,2.6
41,Rice,13,31.8,18.2,30.8,58.9,225.6,1.5,48.1,201.8,4.2,2.0,78.9,427.4,5.4,10.8,11.3,1.5,23.5,5.5,50.8,1.3,0.4,1.7
42,Northwestern,13,31.7,17.8,28.4,62.6,169.1,1.1,45.8,225.5,4.9,2.4,74.2,394.6,5.3,8.5,12.4,1.3,22.2,5.2,50.5,0.6,0.5,1.2
43,Ohio,13,31.7,19.2,30.9,62.2,241.5,1.8,45.8,203.3,4.4,1.8,76.8,444.8,5.8,10.9,10.3,2.0,23.2,5.3,50.0,0.4,0.4,0.8
44,Duke,13,31.5,27.1,42.4,63.9,283.9,2.1,33.8,125.2,3.7,1.4,76.2,409.2,5.4,12.8,7.1,2.2,22.2,5.8,49.0,0.7,0.9,1.6
45,East Carolina,13,31.5,24.5,37.5,65.4,273.2,1.9,35.3,135.4,3.8,1.8,72.8,408.5,5.6,12.2,8.0,1.7,21.9,4.2,43.6,0.6,1.1,1.7
46,Ole Miss,13,31.5,20.1,31.6,63.5,249.9,1.8,42.4,173.8,4.1,1.9,74.0,423.8,5.7,10.3,10.6,1.5,22.4,4.8,36.9,0.8,1.4,2.2
47,South Carolina,13,31.5,17.3,28.1,61.6,238.1,2.2,37.8,138.5,3.7,1.5,65.8,376.5,5.7,10.4,7.9,1.5,19.8,4.8,40.5,0.8,0.7,1.5
48,Toledo,13,31.5,20.8,33.9,61.5,252.0,1.5,40.1,193.2,4.8,1.6,74.0,445.2,6.0,10.8,10.2,1.5,22.6,6.8,68.0,0.7,0.8,1.5
49,Miami (FL),12,31.4,22.0,37.3,59.1,295.4,1.9,30.9,144.8,4.7,1.6,68.2,440.2,6.5,11.8,6.3,2.2,20.3,7.3,57.7,0.7,0.6,1.3
50,Louisville,13,31.2,23.6,35.1,67.3,296.1,2.1,35.5,122.7,3.5,1.8,70.6,418.8,5.9,13.3,8.2,1.4,22.8,6.3,54.1,0.4,0.6,1.0
51,UTSA,12,31.2,18.4,30.7,60.1,231.0,1.9,35.8,159.3,4.4,1.8,66.5,390.3,5.9,10.2,7.9,1.3,19.4,7.8,76.1,0.7,0.6,1.3
52,Indiana,12,30.8,27.6,45.0,61.3,311.2,2.0,33.3,130.8,3.9,1.8,78.3,442.0,5.6,13.3,7.1,2.4,22.8,5.7,49.3,0.3,1.1,1.3
53,Troy,12,30.6,28.1,42.4,66.2,331.5,1.8,38.1,167.3,4.4,1.8,80.5,498.8,6.2,14.2,9.3,2.1,25.6,7.7,66.9,1.3,1.0,2.3
54,Boise State,13,30.2,20.2,30.3,66.8,223.2,1.5,36.8,168.2,4.6,1.9,67.1,391.3,5.8,11.2,8.6,1.5,21.3,4.5,42.8,0.7,0.5,1.2
55,Syracuse,13,30.0,22.7,36.4,62.4,289.0,2.0,42.7,187.0,4.4,1.6,79.1,476.0,6.0,13.1,10.2,1.9,25.2,7.8,68.2,0.9,0.8,1.7
56,Vanderbilt,13,30.0,15.9,26.9,59.1,213.4,1.3,40.3,166.3,4.1,1.9,67.2,379.7,5.6,8.4,8.8,1.8,18.9,5.9,44.9,1.0,0.4,1.4
57,LSU,13,29.8,16.0,27.4,58.4,200.5,0.9,40.5,173.7,4.3,2.2,67.9,374.2,5.5,8.2,9.2,1.2,18.6,7.2,57.9,0.8,0.5,1.3
58,Michigan,13,29.8,13.0,24.5,53.1,199.3,1.5,38.6,183.8,4.8,2.1,63.1,383.1,6.1,8.7,8.6,1.8,19.2,4.8,49.3,0.6,1.5,2.1
59,Wisconsin,14,29.6,12.1,20.8,58.4,156.9,1.1,45.4,236.4,5.2,2.7,66.1,393.3,5.9,6.9,11.2,1.0,19.1,3.8,36.1,0.4,0.4,0.9
