,,,,Overall,Overall,SRS,SRS,SRS,Scoring,Scoring,Passing,Passing,Rushing,Rushing,Total,Total
Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
1,Alabama,SEC (West),1,13,0,12.64,14.54,27.18,100.00,-42.11,16.81,0.04,9.37,-0.69,12.10,0.17
2,Clemson,ACC (Atlantic),2,13,0,7.73,15.88,23.61,98.01,-41.34,13.10,0.99,10.63,-1.14,11.18,0.33
3,Georgia,SEC (East),6,11,2,10.72,11.92,22.64,96.84,-39.96,14.94,-0.25,10.16,0.23,11.58,0.63
4,Michigan,Big Ten (East),8,10,2,6.95,12.31,19.26,89.02,-34.13,13.35,0.66,8.64,0.06,10.03,0.68
5,Notre Dame,Ind,3,12,0,6.91,12.19,19.11,86.41,-35.02,13.41,0.16,8.14,0.26,9.93,0.75
6,Ohio State,Big Ten (East),5,12,1,15.46,2.63,18.09,96.07,-24.14,14.42,2.41,7.94,1.16,10.60,2.26
7,Oklahoma,Big 12,4,12,1,21.21,-3.29,17.92,100.00,-20.76,16.92,2.60,10.40,0.74,12.74,2.22
8,UCF,American (East),7,12,0,10.75,5.56,16.31,92.10,-30.40,13.73,1.49,9.31,1.07,10.59,1.72
9,Missouri,SEC (East),24,8,4,10.63,4.56,15.19,95.09,-32.87,13.81,1.80,8.61,-0.56,10.45,1.17
10,LSU,SEC (West),11,9,3,7.64,7.09,14.73,89.81,-36.09,13.04,0.23,8.31,-0.27,9.80,0.51
11,West Virginia,Big 12,15,8,3,11.93,1.78,13.71,95.89,-28.00,15.05,2.08,8.29,0.72,11.15,1.83
12,Mississippi State,SEC (West),18,8,4,-3.71,17.38,13.67,86.06,-45.04,12.83,-0.44,9.75,-0.94,10.55,-0.17
13,Penn State,Big Ten (East),13,9,3,4.83,8.45,13.27,87.22,-30.87,12.63,1.06,8.89,0.15,10.04,0.99
14,Iowa,Big Ten (West),,8,4,2.50,10.25,12.75,83.03,-33.73,12.16,1.22,7.71,-0.57,9.24,0.76
15,Washington State,Pac-12 (North),12,10,2,9.97,2.48,12.45,90.27,-26.42,12.78,1.69,7.42,0.92,10.34,1.62
16,Fresno State,MWC (West),19,11,2,-0.42,12.74,12.32,83.42,-36.89,13.24,1.36,7.54,0.50,9.75,1.30
17,Florida,SEC (East),10,9,3,5.05,7.14,12.19,92.36,-35.52,13.46,0.30,9.27,0.59,10.54,0.85
18,Kentucky,SEC (East),16,9,3,0.02,12.14,12.16,83.57,-39.97,12.86,0.80,8.98,0.26,10.02,0.97
19,Texas A&M,SEC (West),21,8,4,10.61,1.53,12.14,94.03,-31.27,13.39,2.65,9.15,-1.00,10.58,1.51
20,Washington,Pac-12 (North),9,10,3,0.07,11.77,11.83,79.89,-36.85,14.22,0.43,8.18,0.17,10.30,0.67
21,Utah,Pac-12 (South),20,9,4,2.17,9.26,11.43,82.36,-32.87,12.98,0.82,8.50,-0.29,10.00,0.65
22,Syracuse,ACC (Atlantic),17,9,3,10.59,0.50,11.09,91.20,-25.60,12.05,2.38,8.04,0.58,9.31,1.97
